嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
	アプローチ	apuroochi	approach (in golf)	подход (в гольфе)
	アマチュア	amachua	amateur	любитель
	アラブ	arabu	Arab	арабский
	アルカリ	arukari	alkali	щелочь
	アルミ	arumi	aluminum (Al), aluminium	алюминий (Al); алюминий
	アワー	awaa	hour	час
	アンケート	ankeeto	(fr:) (n) questionnaire (fr: enquete), survey	анкета
	アンコール	ankooru	encore	бис
	イエス	iesu	Jesus, yes	Иисус; да
	インターチェンジ	intaachenji	interchange	обмен
	インターナショナル	intaanashonaru	international	международный
	インターフォン	intaafon	intercom	внутренняя связь
	インテリ	interi	egghead, intelligentsia	умник; интеллигенция
	インフォメーション	infomeeshon	information	информация
	インフレ	infure	inflation	инфляция
	ウェートレス	weetoresu	waitress	официантка
	エアメール	eameeru	air mail	воздушная почта
	エレガント	ereganto	elegant	элегантный
	エンジニア	enjinia	engineer	инженер
	オーケー	ookee	OK	хорошо
	オートマチック	ootomachikku	automatic	автоматический
	オープン	oopun	open	открытый
	オリエンテーション	orienteeshon	orientation	ориентация
	オレンジ	orenji	an orange	оранжевый
	オンライン	onrain	on-line	онлайн
	カーペット	kaapetto	carpet	ковер
	カクテル	kakuteru	cocktail	коктейль
	カット	katto	cut, cutting	вырезать; резка
	カテゴリー	kategorii	category	категория
	カムバック	kamubakku	comeback	возвращение
	カメラマン	kameraman	cameraman	кинооператор
	カルテ	karute	(de:) (n) clinical records (de: Karte)	медецинская карта
	カンニング	kanningu	cunning, cheat	хитрость; обман
	ガイド	gaido	tour guide	экскурсовод
	ガイドブック	gaidobukku	guidebook	путеводитель
	ガレージ	gareeji	garage (at house)	гараж
	キャッチ	kyacchi	catch	улов
	キャリア	kyaria	career, career government employee	карьера
	クイズ	kuizu	quiz	викторина
	クラブ	kurabu	club, crab	клуб; краб
	クレーン	kureen	crane	кран
	グラフ	gurafu	graph	график
	グレー	guree	grey, gray	серый; серый
	ゲスト	gesuto	guest	гость
	コーナー	koonaa	corner	угол
	コマーシャル	komaasharu	a commercial	коммерческий
	コミュニケーション	komyunikeeshon	communication	коммуникация
	コメント	komento	comment	комментарий
	コンタクト	kontakuto	contact, contact lens	контакт; контактные линзы
	コンテスト	kontesuto	contest	конкурс
	コントラスト	kontorasuto	contrast	контрастировать
	コントロール	kontorooru	control	контроль
	コンパス	konpasu	compass	компас
	サイクル	saikuru	cycle	цикл
	サイズ	saizu	size	размер
	サボる	saboru	to be truant, to be idle, to sabotage by slowness	саботировать; прогуливать
	サンキュー	sankyuu	thank you	спасибо
	サンタクロース	santakuroosu	Santa Claus	Санта Клаус
	シート	shiito	seat, sheet	лист
	システム	shisutemu	system	система
	シック	shikku	chic	шик
	シナリオ	shinario	scenario	сценарий
	ショー	shoo	show	шоу
	ショック	shokku	shock	шок
	ジーパン	jiipan	jeans (lit: jeans pants), dungarees	джинсы; полукомбинезон
	ジャズ	jazu	jazz	джаз
	ジャンパー	janpaa	jacket, jumper	куртка; джемпер
	ジャンプ	janpu	jump	прыжок
	ジャンボ	janbo	jumbo	гигантский
	ジャンル	janru	genre	жанр
	スタジオ	sutajio	studio	студия
	スチーム	suchiimu	steam	пар
	ストライキ	sutoraiki	strike	забастовка
	ストレス	sutoresu	stress	стресс
	ストロー	sutoroo	straw	солома
	ストロボ	sutorobo	stroboscope (lit: strobo), strobe lamp, stroboscopic lamp	стробоскоп; фонарь
	スピード	supiido	speed	скорость
	スプリング	supuringu	spring	весна
	スペース	supeesu	space	пространство
	スポーツカー	supootsukaa	sports car	спортивный автомобиль
	スラックス	surakkusu	slacks	широкие брюки
	セール	seeru	sale	продажа
	セクション	sekushon	section	раздел
	セックス	sekkusu	sexual intercourse	секс
